winner,winby
0.1645219,1
0.30925208,1
0.5803893,1
0.47623387,1
0.47391266,1
0.44211194,1
0.75939506,1
0.47256097,1
0.4952346,1
0.4081744,1
0.5072377,1
0.3891185,1
0.4670997,1
0.68654794,1
0.20048416,1
0.53191113,1
0.49288145,1
0.341844,1
0.631172,1
0.25168043,1
0.3931848,1
0.40128353,1
0.8408681,1
0.78928196,1
0.32782707,1
0.59542423,1
0.5016077,1
0.44304097,1
0.5030099,1
0.46857393,1
0.42692572,1
0.8296584,1
0.16716708,1
0.18073405,1
0.6732246,1
0.52415746,1
0.4232512,1
0.7713078,1
0.38351697,1
0.48932916,1
0.16919528,1
0.6592562,1
0.5285234,1
0.48093423,1
0.51581943,1
0.41260678,1
0.27961904,1
0.34303632,1
0.3905266,1
0.72605103,1
0.22979638,1
0.4606918,1
0.4254506,1
0.62278837,1
0.21200082,1
0.2405905,1
0.5951055,1
0.45253038,1
0.73310554,1
0.44846323,1
0.47002253,1
0.1635598,1
0.63137203,1
0.6049875,1
0.7615511,1
0.17980212,1
0.31529415,1
0.16427489,1
0.6631483,1
0.52843475,1
0.47524586,1
0.7139333,1
0.7951042,1
0.5039068,1
0.40070647,1
0.70311034,1
0.23535717,1
0.5362644,1
0.36073005,1
0.38816544,1
0.5313961,1
0.26935706,1
0.43781814,1
0.64926565,1
0.39118764,1
0.19530968,1
0.4231456,1
0.56652665,1
0.46883005,1
0.60767066,1
0.4089469,1
0.6625016,1
0.5886404,1
0.2616405,1
0.5147403,1
0.38340905,1
0.5598965,1
0.21790779,1
0.50346047,1
0.3205061,1
0.35741007,1
0.7516243,1
0.32003447,1
0.41089073,1
0.5245368,1
0.6701921,1
0.55782425,1
0.32662165,1
0.46321753,1
0.32937917,1
0.5273478,1
0.71908474,1
0.69850075,1
0.52609056,1
0.49230346,1
0.44047526,1
0.15967323,1
0.62381226,1
0.24739201,1
0.5136707,1
0.43012756,1
0.18552062,1
0.40484262,1
0.42865965,1
0.6694146,1
0.59570724,1
0.13235326,1
0.7364305,1
0.8318714,1
0.2426448,1
0.44691676,1
0.14800258,1
0.5671003,1
0.5475807,1
0.4665313,1
0.4340057,1
0.5335073,1
