winner,winby
0.3,1.2684844771494295
0.5,1.250700944208285
0.39,1.3229642544079354
0.53,1.3744438360110303
0.53,1.3504872436079796
0.41,1.3483246704620369
0.69,1.548600602312603
0.45,1.1474963478022935
0.47,1.3422797340126063
0.46,1.2909446484024019
0.46,1.358261435560744
0.41,1.4156361394262127
0.43,1.1048247241758957
0.66,1.240382727875217
0.35,1.6340669128834389
0.55,1.3112741050646646
0.37,1.220358832859579
0.54,1.3078373868877862
0.56,1.43358701699486
0.32,1.2693632028320325
0.54,1.2372156439840776
0.37,1.246489754958459
0.53,1.3570002949693305
0.5,1.1718889311866922
0.39,1.2179608011985914
0.38,1.244134551923147
0.45,1.3104425921794196
0.48,1.148346377765094
0.43,1.3195032799523219
0.47,1.1981233878646103
0.51,1.2517354713987365
0.6,2.1844023215300257
0.54,1.1400049842762383
0.21,1.3582519384098308
0.61,1.3811394108191903
0.42,1.443555665098641
0.41,1.2020876752360536
0.47,1.3003227834794224
0.33,1.3257874914693963
0.61,1.4656963130081408
0.58,1.315149329464374
0.47,1.6810850581007795
0.48,1.4359878950446419
0.41,1.379031496072138
0.38,1.1007929641723964
0.35,1.257461391217466
0.35,1.2239724926957758
0.48,1.2175541477213632
0.43,1.2308179790907705
0.79,2.1196357453290027
0.42,1.4821197251468583
0.39,1.3380252151062926
0.52,1.2966946651922313
0.5,1.4350214280611764
0.28,1.0715534854936857
0.38,1.2916214103600574
0.46,1.3251292289883834
0.39,1.26489950027468
0.5,1.4371161808742983
0.53,1.2769293629017202
0.44,1.3056103976231694
0.23,1.6595858580521834
0.48,1.566664566192006
0.45,1.2517053487528242
0.58,1.942875676391752
0.49,1.165989820811041
0.35,1.4396520115710894
0.37,1.211155989093861
0.58,1.3943316333809244
0.45,1.3994432473886231
0.44,1.284265189274367
0.45,1.31963938642974
0.45,1.3925824445608777
0.43,1.356590210406098
0.61,1.2315939187641374
0.72,2.3478469666175648
0.39,1.1154407296851827
0.54,1.5554826499635608
0.34,1.2791441628267735
0.47,1.3104532228824786
0.43,1.3551734817943968
0.29,1.287479845330023
0.53,1.1929871214115462
0.56,1.3875841048997355
0.41,1.0440582047567357
0.35,1.310593769713352
0.41,1.420140893678057
0.4,1.3468525107732643
0.5,1.5285760756376778
0.54,1.283097180137062
0.4,1.2739102290102815
0.52,1.172842614508832
0.49,1.295518853559489
0.57,1.0899920500619404
0.44,1.329209207573272
0.53,1.2744537739410353
0.44,1.304727550931066
0.49,1.2877067434738696
0.37,1.26319873842058
0.34,1.3441784870233464
0.46,1.2981100330522148
0.54,1.5228974194359923
0.39,1.2468906883886517
0.52,1.5942656497860301
0.49,1.384594832456432
0.64,1.513734691975757
0.34,1.3592176410114074
0.29,1.2660974975042374
0.38,1.3359426503910319
0.44,1.3068948067835742
0.35,1.3196718823494307
0.5,1.2081755924651052
0.53,1.349843901244998
0.54,1.2977016771895051
0.54,1.294289056591539
0.45,1.304384218017863
0.42,1.2004438237066983
0.46,1.222982733370555
0.43,1.2883882364039394
0.45,1.3881895247471574
0.45,1.285481087870858
0.42,1.3302989981822675
0.48,1.2318548656820099
0.41,1.1283143185077078
0.67,1.4336054568210095
0.6,1.366372758258379
0.46,1.4409596111705598
0.58,1.8987605125981561
0.69,2.4853622827058834
0.34,1.2616977425467746
0.43,1.3208691335143083
0.43,1.1445545817194
0.61,1.3141748827511643
0.6,1.357868601988784
0.4,1.3022624601419432
0.46,1.1879150227810713
0.67,1.3519477990802145
0.61,2.3516486995977144
0.41,1.3859148141435522
0.39,1.4203397592265263
0.53,1.3485966496849031
0.31,1.3351354600125627
0.33,1.296749317506846
0.38,1.2857759824940413
0.37,1.1595590655473902
0.41,1.2286955615253625
0.31,1.205665543532972
0.33,1.3490007530856505
0.42,1.159845600750687
0.37,1.5077206627893252
0.44,1.2428552668015413
0.41,1.3490879909669915
0.44,1.6922221474074741
0.44,1.3709855008604077
0.7,1.8215621919852318
0.13,1.2725266403944546
0.53,1.663308070286725
0.47,1.104144372587062
0.5,1.2463483222860017
0.34,1.1897409454896182
0.4,1.2808806003739412
0.47,1.3649635499435797
0.61,1.402751090158036
0.4,1.264956734698701
0.49,1.2551808646521074
0.57,1.399795551709185
0.35,1.2514466652912966
0.49,2.571326157144426
0.45,1.0196856154106075
0.51,1.4251485281607597
0.43,1.0407496265053215
0.42,1.364479608513844
0.34,1.1799603429610865
0.44,1.3025348811497433
0.63,1.4431932214978958
0.51,1.2237163387502705
0.31,1.1544038325417836
0.24,1.3351166591693004
0.3,1.3236604902964482
0.32,1.300974882513185
0.39,1.1148468352713399
0.48,1.359063571807703
0.69,1.5175794496189263
0.57,1.4157689920779424
0.57,1.1824148123315399
0.39,1.1532274440931507
0.36,1.2629484640945947
0.38,1.266500505921075
0.37,1.1454118201129815
0.44,1.2813975933002464
0.57,1.3681820115036964
0.32,1.1902337299667285
0.47,1.0972636399341877
0.78,1.999086723125168
0.47,1.2395251594623269
0.45,1.3133689104438933
0.43,1.2738057103895981
0.43,1.1105150503481414
0.4,1.4779358757973209
0.53,1.4422739032678553
0.58,1.5424828611848809
0.51,1.2562655073268818
0.21,1.3816000451330623
0.43,1.275072819883857
0.43,2.4086156496018787
0.69,1.9854631583561666
0.47,1.151564399478427
0.63,1.4854897148359163
0.56,1.522230592424704
0.42,1.2068109621863021
0.56,1.5904634291365463
0.44,1.4255722568662785
0.38,1.391639428875792
0.56,1.4773133287329188
0.34,1.2875711508490728
0.42,1.2563187809736
0.36,1.2690107932626806
0.44,1.1741327223470532
0.28,1.2580733697643767
0.44,2.1972458465314415
0.58,1.6599897662532521
0.41,1.2599045131858093
0.35,1.0980998021045112
0.61,1.5711608415977631
0.49,1.3551259035574938
0.35,1.267129774191695
0.54,1.4393686140776973
0.47,1.2816369162819388
0.33,1.0856313661577008
0.37,1.337911691045569
0.47,1.5086057799605876
0.54,1.2960432117207337
0.51,1.4392442718783633
0.53,1.5448464558415944
0.41,1.3338845212901007
0.55,1.1096212453972938
0.37,1.2550453253619347
0.46,1.0378459774540647
0.5,1.3296730470215552
0.43,1.697675466770901
0.45,1.215396227243413
0.53,1.8852356032458761
0.51,1.3031399314247671
0.42,1.3588705882410992
0.5,1.3950302332340865
0.38,1.1729009802656392
0.69,1.5609927932832237
0.45,1.2751522973832012
0.52,1.278326894635313
0.4,1.2600086551168124
0.46,1.0785120579426368
0.53,1.3001139415413878
0.4,1.3216185184498883
0.38,1.3121816540104345
0.43,1.2313775480062414
0.45,1.2507968020831053
0.51,1.1847029888141842
0.43,1.1955422478013624
0.42,1.582791283335557
0.52,1.1307321508412862
0.4,1.3072610893324255
0.45,1.1200402497765714
0.44,1.199195734412508
0.41,1.2500066408802317
0.59,1.5841560546775437
0.52,1.3401726043781932
0.51,1.5244665264750479
0.5,1.3272528930561818
0.6,1.8688796147257596
0.48,1.304756629267513
0.45,1.2891769476530552
0.4,1.2719357694598752
0.49,1.3036008341512004
0.43,1.3253070243780711
0.44,1.3178516580135045
0.55,2.1850444572408816
0.44,1.2596872734473035
0.42,1.310030174650887
0.49,1.3014660926132893
0.41,1.3578288701751393
0.28,1.6639157908349567
0.48,1.3477439220724292
0.39,1.073370524656712
0.39,1.4306136300322545
0.53,1.5162933604350148
0.31,1.2995756295707657
0.37,1.176124686813552
0.38,1.3367557170397073
0.42,1.2925686092443127
0.38,1.1962009247353147
0.52,1.432581101641077
0.4,1.1649714332126127
0.41,1.369989755118443
0.23,1.295414360710617
0.76,1.8232347871717127
0.55,1.486383891286904
0.53,1.2714721801436804
0.42,1.2854204959722335
0.71,1.557136840913899
0.53,1.5359360778684417
0.61,1.6359630853084186
0.44,1.41811647786878
0.44,1.2545405665132185
0.43,1.1858620521521448
0.32,1.1949380635529856
0.57,1.4295587408150727
0.38,1.1586951090031363
0.34,1.3195729136681078
0.45,1.3188213257720152
0.49,1.3384480671836745
0.6,2.053347083704048
0.39,1.31710436420027
0.42,1.2683502024263316
0.32,1.3103488962862473
0.41,1.2360635246660503
0.45,2.600031645755819
0.38,1.207024944861512
0.31,1.1346152248670462
0.58,1.4797275489625676
0.36,1.2683126794610535
0.52,1.293797971134245
0.56,1.0451218119614076
0.64,1.5244723770145274
0.51,1.4401905492454488
0.54,1.317681428354207
0.51,1.114777381941868
0.33,1.2708644343118474
0.39,1.327595977490883
0.45,1.3669321844356148
0.19,1.2066540712134832
0.43,1.2889282773045871
0.5,1.296137465501365
0.49,1.4362620257081504
0.43,1.2812937399456228
0.6,1.4502708964041786
0.46,1.1639177659153626
0.45,1.3024187270599716
0.45,1.2198664985893288
0.47,1.2779324619269143
0.46,1.162558099705581
0.47,1.2298186846910877
0.31,1.269146249575245
0.43,1.0869875512815057
0.49,2.063376117206679
0.44,1.2663191145237114
0.51,1.2668916301737618
0.41,1.4042864364783736
0.52,1.189179190245009
0.51,1.1113634266429275
0.34,1.317761800142697
0.44,1.2662415352501486
0.63,1.2195308065506083
0.37,1.2625890859862812
0.39,1.2928100298684337
0.3,1.2836027151554172
0.5,1.6515403892778215
0.42,1.3320635648708667
0.38,1.2067619798020037
0.46,1.5282679365812508
0.65,1.4917335028125567
0.38,1.3084854570691111
0.36,1.3200759741394406
0.36,1.4759277684725045
0.34,1.1608695906367525
0.52,1.4652340904511965
0.32,1.4663461632937873
0.5,1.285497545080665
0.43,1.2984010348111288
0.51,1.610445003196197
0.45,1.2580937072664058
0.4,1.2770815339924066
0.35,1.3320655216747026
0.51,1.3314068641464218
0.52,1.2801358460078989
0.34,1.2363021647096573
0.58,1.286565310386874
0.41,1.2885737842382714
0.63,1.2686268025041187
0.46,1.2718405044504972
0.46,1.2724424964243894
0.51,1.2843023523463923
0.49,1.4667322918063925
0.39,1.2934185208062867
0.36,1.4968510932302417
0.37,1.3459352337696138
0.44,1.405951866430512
0.3,1.2904173234189646
0.45,1.105000953893988
0.48,1.4821164830678855
0.54,1.2554135208883865
0.52,1.0977221474766339
0.5,1.2672521333471525
0.55,1.2158659086686379
0.59,1.260053425404755
0.52,1.3206772860663905
0.36,1.2306677402788246
0.39,1.3271723087655236
0.61,1.6474532231569676
0.26,1.2419882389358574
0.38,1.2876732761021519
0.45,1.2055375197958644
0.55,1.3739236863103792
0.47,1.4068864176956677
0.53,1.5615403057889983
0.35,0.9795092325465623
0.5,1.3497094557422142
0.35,1.1644837355593107
0.45,1.173424793675871
0.52,1.2451762036044758
0.39,1.40815043911936
0.46,1.1617250997098172
0.4,1.272656645638632
0.4,1.2577463808544975
0.37,1.251290050477518
0.5,1.5082950369563684
0.48,1.2741586548415722
0.52,1.1937096691061515
0.47,1.3870142029741015
0.39,1.1758391347877213
0.42,1.7563873722611842
0.28,1.1734064581418893
0.59,1.3090081271090073
0.49,1.2058586535504483
0.46,1.32599098561547
0.55,1.5481525412412185
0.48,1.7803331922831849
0.37,1.3036448755141634
0.53,1.2086407772692174
0.53,3.0344858505567363
0.34,1.2672596481821063
0.68,1.6307820925288794
0.31,1.4006905446126048
0.43,1.1847451216050964
0.45,1.5006355347778868
0.59,1.3603678353994526
0.41,1.0478401931322414
