winner,winby
0.3,1
0.5,1
0.39,0
0.53,7
0.53,1
0.41,2
0.69,1
0.45,1
0.47,1
0.46,1
0.46,0
0.41,1
0.43,1
0.66,1
0.35,1
0.55,1
0.37,1
0.54,1
0.56,1
0.32,1
0.54,1
0.37,1
0.53,1
0.5,2
0.39,1
0.38,1
0.45,1
0.48,1
0.43,1
0.47,1
0.51,1
0.6,6
0.54,1
0.21,1
0.61,1
0.42,1
0.41,2
0.47,0
0.33,1
0.61,1
0.58,1
0.47,1
0.48,1
0.41,1
0.38,0
0.35,1
0.35,1
0.48,2
0.43,1
0.79,1
0.42,1
0.39,1
0.52,4
0.5,1
0.28,1
0.38,1
0.46,1
0.39,1
0.5,5
0.53,1
0.44,1
0.23,2
0.48,1
0.45,1
0.58,1
0.49,1
0.35,6
0.37,1
0.58,1
0.45,1
0.44,1
0.45,1
0.45,1
0.43,1
0.61,0
0.72,1
0.39,1
0.54,0
0.34,1
0.47,1
0.43,5
0.29,1
0.53,1
0.56,1
0.41,2
0.35,1
0.41,1
0.4,1
0.5,1
0.54,0
0.4,1
0.52,1
0.49,1
0.57,1
0.44,1
0.53,1
0.44,1
0.49,1
0.37,1
0.34,1
0.46,1
0.54,3
0.39,1
0.52,2
0.49,1
0.64,1
0.34,1
0.29,1
0.38,1
0.44,1
0.35,1
0.5,5
0.53,1
0.54,1
0.54,1
0.45,1
0.42,1
0.46,1
0.43,2
0.45,1
0.45,1
0.42,1
0.48,1
0.41,2
0.67,1
0.6,1
0.46,1
0.58,1
0.69,5
0.34,1
0.43,1
0.43,1
0.61,1
0.6,1
0.4,3
0.46,1
0.67,1
0.61,0
0.41,0
0.39,1
0.53,1
0.31,1
0.33,1
0.38,1
0.37,1
0.41,1
0.31,0
0.33,1
0.42,1
0.37,1
0.44,1
0.41,1
0.44,1
0.44,1
0.7,1
0.13,1
0.53,1
0.47,2
0.5,1
0.34,1
0.4,1
0.47,1
0.61,1
0.4,0
0.49,1
0.57,1
0.35,1
0.49,1
0.45,0
0.51,1
0.43,2
0.42,1
0.34,1
0.44,1
0.63,1
0.51,1
0.31,1
0.24,6
0.3,1
0.32,1
0.39,2
0.48,1
0.69,1
0.57,1
0.57,1
0.39,1
0.36,1
0.38,0
0.37,1
0.44,1
0.57,0
0.32,1
0.47,3
0.78,3
0.47,1
0.45,1
0.43,0
0.43,1
0.4,1
0.53,1
0.58,1
0.51,1
0.21,1
0.43,1
0.43,2
0.69,4
0.47,1
0.63,1
0.56,1
0.42,1
0.56,1
0.44,1
0.38,1
0.56,5
0.34,1
0.42,3
0.36,2
0.44,1
0.28,1
0.44,5
0.58,1
0.41,1
0.35,1
0.61,1
0.49,1
0.35,1
0.54,1
0.47,1
0.33,1
0.37,1
0.47,1
0.54,1
0.51,1
0.53,0
0.41,1
0.55,1
0.37,1
0.46,2
0.5,0
0.43,1
0.45,1
0.53,1
0.51,2
0.42,1
0.5,1
0.38,1
0.69,2
0.45,1
0.52,1
0.4,1
0.46,1
0.53,1
0.4,1
0.38,1
0.43,1
0.45,1
0.51,0
0.43,3
0.42,1
0.52,1
0.4,0
0.45,1
0.44,2
0.41,1
0.59,1
0.52,1
0.51,0
0.5,1
0.6,1
0.48,1
0.45,5
0.4,1
0.49,1
0.43,1
0.44,1
0.55,3
0.44,1
0.42,1
0.49,1
0.41,1
0.28,1
0.48,1
0.39,1
0.39,1
0.53,4
0.31,1
0.37,1
0.38,1
0.42,1
0.38,0
0.52,1
0.4,1
0.41,1
0.23,1
0.76,1
0.55,1
0.53,2
0.42,1
0.71,1
0.53,1
0.61,1
0.44,1
0.44,1
0.43,1
0.32,1
0.57,0
0.38,1
0.34,1
0.45,1
0.49,1
0.6,1
0.39,1
0.42,1
0.32,1
0.41,1
0.45,7
0.38,0
0.31,1
0.58,0
0.36,1
0.52,2
0.56,0
0.64,1
0.51,1
0.54,1
0.51,0
0.33,1
0.39,1
0.45,1
0.19,1
0.43,1
0.5,1
0.49,1
0.43,1
0.6,1
0.46,1
0.45,1
0.45,1
0.47,5
0.46,1
0.47,1
0.31,1
0.43,1
0.49,5
0.44,1
0.51,4
0.41,0
0.52,1
0.51,1
0.34,1
0.44,5
0.63,1
0.37,1
0.39,1
0.3,1
0.5,7
0.42,6
0.38,1
0.46,1
0.65,1
0.38,1
0.36,1
0.36,1
0.34,5
0.52,0
0.32,4
0.5,1
0.43,0
0.51,1
0.45,0
